Source:,/home/markd/Documents/Solar/charger/charger.sch,,,,,,
Date:,Thu 29 Oct 2020 11:03:08 PM CDT,,,,,,
Tool:,Eeschema 5.1.5-1.fc30,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,100,,,,,,
,,,,,,,
Individual Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,,Datasheet
22,1,J4,Conn_01x03,Connector_Generic:Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,https://www.digikey.com/en/products/detail/amphenol-icc-fci/68000-406HLF/1878471,~
23,1,J5,OSTT7020150,Connector:Screw_Terminal_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTT7020150/740272?s=N4IgTCBcDaIPIGUAqSDsAGM6CMBWdIAugL5A,https://www.mouser.com/ProductDetail/Phoenix-Contact/1725656?qs=sGAEpiMZZMvPvGwLNS67143eXz6yLKIOCsITGMn0Nro%3D
24,2,"L1, L2",7443642200,Device:L,MWD_Footprints:7443642200 _Inductor,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/7443642200/4865753?s=N4IgTCBcDaIOwBYEGYBsCxgAxZAXQF8g,https://www.mouser.com/datasheet/2/445/7443642200-1721886.pdf
25,1,L3,220 uH,Device:L,Inductor_SMD:L_Bourns_SRR1260,https://www.digikey.com/en/products/detail/bourns-inc/SRR1260A-221K/4340226,https://www.mouser.com/ProductDetail/Bourns/SRR1260-221K?qs=sGAEpiMZZMv126LJFLh8y2g1MQW3KQGurY%2FzTCT0qxM%3D
26,2,"Q1, Q6",CSD18540Q5B,Transistor_FET:CSD18540Q5B,Package_TO_SOT_SMD:TDSON-8-1,https://www.digikey.com/en/products/detail/texas-instruments/CSD18540Q5B/5181315,http://www.ti.com/lit/gpn/csd18540q5b
27,4,"Q2, Q3, Q4, Q5",CSD19531Q5A,Transistor_FET:CSD19531Q5A,Package_TO_SOT_SMD:TDSON-8-1,https://www.digikey.com/en/products/detail/texas-instruments/CSD19531Q5A/4437460,http://www.ti.com/lit/gpn/csd19531q5a
28,5,"R1, R7, R8, R9, R10",205,Device:R_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/vishay-dale/CRCW1206205RFKEA/1176563,~
29,4,"R2, R11, R23,R30",1k,Device:R_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-8GEYJ102V/10364,~
30,1,R3,0.002,Device:R_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/rohm-semiconductor/PMR18EZPFV2L00/2094208,~
31,1,R4,5.11,Device:R_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/vishay-dale/CRCW12065R11FKEA/1961846,~
